id;reference;first_name;last_name;phone_1;phone_2;image;image_content_type;email;type;is_customer;is_supplier;company_id
1;Chief;Lavinia;Mertz;Usability Marketing;Checking Account synthesize;../fake-data/blob/hipster.png;image/png;"bgbx*W@66.dq";STE;true;false;28150
2;whiteboard;Nicolas;Volkman;Wooden Object-based Liberian Dollar;Avon Guatemala Optimization;../fake-data/blob/hipster.png;image/png;"zne}GR@4.0'2m";PERSON;true;true;75035
3;front-end;Pierre;Schoen;Handcrafted Corporate;mint green New Zealand white;../fake-data/blob/hipster.png;image/png;"[|@-wL.X.:=";STE;true;true;80573
4;system program;Lorena;O'Kon;Internal;LeadXXXX;../fake-data/blob/hipster.png;image/png;"ly'@O..NJ";PERSON;true;true;9321
5;wireless;Stanford;Bayer;Tasty Aruba;CSS Florida Persevering;../fake-data/blob/hipster.png;image/png;"lR>@!_v.ZtOPw";PERSON;true;true;20033
6;Money Market Account Brooks users;Kendra;Parker;Generic Chair;Cambridgeshire Bahrain Coordinator;../fake-data/blob/hipster.png;image/png;"B6y|x@8./EK?";STE;true;false;61315
7;architectures Ergonomic Future;Wellington;Casper;OfficerX;hack deposit Keyboard;../fake-data/blob/hipster.png;image/png;"x^~1nK@3~UpL.)G8TN";STE;true;true;72086
8;uniform;Cassandra;Mosciski;ivoryXXX;primaryX;../fake-data/blob/hipster.png;image/png;"pu%*@3cjPR`.x";STE;true;true;69219
9;French Polynesia Boliviano Mvdol salmon;Rachel;Rohan;YenXXXXX;Regional reinvent;../fake-data/blob/hipster.png;image/png;"EuX7;@5koiL;.V";STE;false;false;51831
10;Seamless Officer;Bettye;Reynolds;Dominican Republic deposit Consultant;TowelsXX;../fake-data/blob/hipster.png;image/png;"Nnx@>.%wS%IW";STE;false;true;715
