id;reference;bank_name;bank_account_number;iban;swift;type
1;Gardens Oklahoma;Lek;parsing productize rich;GT5406C216J5U2V8AK03EC7060Y0;Hat;Borders content calculating
2;portals;compress Quality-focused;Engineer Dominica calculate;IS930346416391020060392032;programming New Hampshire;Divide
3;Sleek Rubber Hat wireless iterate;directional forecast;Croatian Kuna Home Sports;LI353471269YO15504JU7;Mongolia Danish Krone Inlet;Aruban Guilder
4;Bedfordshire Checking Account Home;Panama;Granite optical;GL7800650420380003;Burundi New Jersey;Pants
5;Music;Specialist SDD Saint Martin;Plastic Dobra Checking Account;HU30394600250079347367062698;Investment Account Specialist;Branch
6;primary Bedfordshire Armenia;Hong Kong innovate;Borders bypass;TL960073912011060096973;e-tailers Berkshire Money Market Account;synergies Intelligent
7;1080p software grey;Auto Loan Account;User-friendly Vermont;FI5000203503100072;Handcrafted Versatile Savings Account;Extensions Group
8;HTTP plug-and-play deliverables;Product;Personal Loan Account synthesize;LU12510424951781896I;Cambridgeshire;Lead Agent
9;out-of-the-box;Massachusetts Belize Dollar;visionary PCI;DO87ODVH63004967111161250030;open-source system HDD;navigate Reduced
10;blue;Health Integrated;Agent transform;BA920100302860601438;bypassing;intuitive Svalbard & Jan Mayen Islands Small Concrete Car
