id;first_name;last_name;job_title;gender;date_ofborth;date_of_recruitment;image;image_content_type;email;phone_number;salary;commission_pct;rates
1;Lola;Rodriguez;Dynamic Web Architect;FEMALE;2020-11-05;2020-11-05;../fake-data/blob/hipster.png;image/png;"Q@C+.]";California override;97958;83938;8020
2;Adan;Goldner;Customer Functionality Liaison;FEMALE;2020-11-04;2020-11-04;../fake-data/blob/hipster.png;image/png;"ONE@jD.'";South Africa Germany National;52932;746;14194
3;Karen;Schneider;Chief Infrastructure Liaison;MALE;2020-11-05;2020-11-05;../fake-data/blob/hipster.png;image/png;"SKD?@yh]-7/.Tz/e";Devolved Identity;99477;52145;65826
4;Karlie;Koch;Dynamic Usability Administrator;MALE;2020-11-05;2020-11-04;../fake-data/blob/hipster.png;image/png;"$@ap.J0l]}";white;18263;43323;90189
5;Raphael;Abshire;Legacy Directives Liaison;FEMALE;2020-11-05;2020-11-05;../fake-data/blob/hipster.png;image/png;"Y)&v@)0.7^G";Baby;7900;17107;62582
6;Trenton;Leannon;Corporate Response Representative;MALE;2020-11-05;2020-11-05;../fake-data/blob/hipster.png;image/png;"SS5\x@60j.6F9";North Carolina Burundi Franc;25606;3534;64377
7;Adelle;Marquardt;Future Factors Architect;FEMALE;2020-11-04;2020-11-04;../fake-data/blob/hipster.png;image/png;"o#(t?#@^wd.]&g$";Unbranded;3513;14322;53108
8;Edna;Cormier;District Assurance Facilitator;FEMALE;2020-11-04;2020-11-05;../fake-data/blob/hipster.png;image/png;"Rdt|I@$n.)7";Fantastic;59447;32979;64894
9;Denis;Gibson;Senior Metrics Agent;FEMALE;2020-11-04;2020-11-05;../fake-data/blob/hipster.png;image/png;"<'/8I@F+E.gaI|";Assistant invoice Awesome Concrete Chair;1983;31108;36802
10;Alanis;Schneider;Corporate Program Producer;MALE;2020-11-04;2020-11-05;../fake-data/blob/hipster.png;image/png;".@X0_7HP.>Q3>";indexing attitude;94535;5220;84609
